                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79376,                 1.7013,                  1.334,                      0,                      0,                      0,                      0,                 3.6542,                    inf,                 70.396,             0.00054142,             0.00054142,             0.00054142
                      2,                0.71567,                0.72252,                 1.2313,                0.00375,                0.25424,                0.00362,                0.00079,                 4.0196,                    inf,                 19.587,              0.0010862,              0.0010862,              0.0010862
                      3,                0.70597,                0.65658,                 1.2336,                0.00862,                0.22881,                0.00674,                0.00223,                 2.9357,                    inf,                 7.1685,                0.00162,                0.00162,                0.00162
                      4,                0.68161,                0.59866,                 1.2131,                0.44932,                0.68644,                0.54588,                0.39413,                 1.2609,                 10.483,                 2.5663,              0.0016175,              0.0016175,              0.0016175
                      5,                0.60755,                0.52082,                 1.1557,                0.64611,                0.30911,                0.23715,                0.10892,                 1.9841,                 4.8951,                 2.8701,               0.001601,               0.001601,               0.001601
                      6,                0.55203,                0.47883,                 1.1195,                0.99616,                      1,                  0.995,                0.95935,                0.34865,                0.93137,                 1.1176,              0.0015845,              0.0015845,              0.0015845
                      7,                0.54319,                0.45784,                 1.1165,                0.63928,                0.69492,                0.67027,                0.57732,                0.66099,                  1.998,                 1.4144,               0.001568,               0.001568,               0.001568
                      8,                0.49939,                0.41127,                 1.0788,                 0.9941,                      1,                  0.995,                0.95215,                0.40695,                0.51167,                 1.0949,              0.0015515,              0.0015515,              0.0015515
                      9,                0.49928,                0.40588,                 1.0796,                0.99703,                      1,                  0.995,                0.95847,                0.36643,                0.85246,                0.98601,               0.001535,               0.001535,               0.001535
                     10,                0.49654,                0.40385,                 1.0769,                0.98385,                0.99553,                  0.995,                0.93977,                0.38319,                 1.1883,                 1.0311,              0.0015185,              0.0015185,              0.0015185
                     11,                 0.4866,                0.39072,                 1.0701,                0.91261,                0.97316,                0.99039,                0.92486,                0.45813,                0.59496,                 1.0259,               0.001502,               0.001502,               0.001502
                     12,                0.48678,                0.37865,                 1.0579,                0.99855,                      1,                  0.995,                0.95807,                0.29109,                 0.2815,                0.91924,              0.0014855,              0.0014855,              0.0014855
                     13,                 0.4617,                0.36624,                 1.0492,                0.99873,                      1,                  0.995,                0.97743,                 0.2938,                0.29807,                0.93775,               0.001469,               0.001469,               0.001469
                     14,                0.44563,                0.35777,                 1.0385,                0.48244,                    0.5,                0.57083,                0.45155,                   1.11,                 1.7251,                 1.6861,              0.0014525,              0.0014525,              0.0014525
                     15,                 0.4322,                0.33533,                 1.0215,                0.99745,                      1,                  0.995,                0.97277,                0.28758,                0.36065,                0.90018,               0.001436,               0.001436,               0.001436
                     16,                 0.4324,                 0.3439,                 1.0226,                0.99891,                      1,                  0.995,                0.99252,                0.24128,                0.24616,                0.86507,              0.0014195,              0.0014195,              0.0014195
                     17,                0.41868,                0.32195,                  1.012,                0.99868,                      1,                  0.995,                0.99148,                0.23083,                0.23311,                0.84738,              0.0014029,              0.0014029,              0.0014029
                     18,                0.41097,                0.32664,                  1.014,                0.99901,                      1,                  0.995,                0.99443,                0.20855,                0.20678,                0.84297,              0.0013864,              0.0013864,              0.0013864
                     19,                0.39868,                0.31155,                 1.0001,                0.99956,                      1,                  0.995,                0.99041,                0.20823,                0.22331,                0.82852,              0.0013699,              0.0013699,              0.0013699
                     20,                  0.415,                0.31515,                 1.0164,                0.99867,                      1,                  0.995,                0.99383,                0.21191,                0.21888,                0.83748,              0.0013534,              0.0013534,              0.0013534
                     21,                0.40908,                0.31137,                 1.0113,                0.48159,                0.44353,                0.49161,                0.35886,                 1.5607,                 3.5809,                  2.212,              0.0013369,              0.0013369,              0.0013369
                     22,                0.40507,                0.31011,                 1.0086,                0.53501,                0.55932,                0.52111,                0.50575,                0.98479,                 1.5359,                 1.3673,              0.0013204,              0.0013204,              0.0013204
                     23,                  0.391,                0.31234,                 1.0075,                0.99896,                      1,                  0.995,                0.98659,                0.22178,                0.21503,                0.83922,              0.0013039,              0.0013039,              0.0013039
                     24,                 0.3964,                0.30854,                 1.0042,                 0.9991,                      1,                  0.995,                0.98292,                0.22844,                0.24356,                0.85916,              0.0012874,              0.0012874,              0.0012874
                     25,                0.40274,                0.31244,                 1.0103,                0.99903,                      1,                  0.995,                0.99005,                0.23482,                0.19864,                0.85484,              0.0012709,              0.0012709,              0.0012709
                     26,                0.40193,                0.30261,                 1.0078,                0.99187,                      1,                  0.995,                0.86961,                 0.4526,                0.94912,                 1.1414,              0.0012544,              0.0012544,              0.0012544
                     27,                0.39008,                0.28727,                0.99823,                0.99852,                      1,                  0.995,                0.99467,                 0.2138,                 0.2082,                0.83908,              0.0012379,              0.0012379,              0.0012379
                     28,                0.38014,                 0.2882,                0.99166,                0.99929,                      1,                  0.995,                0.99401,                0.20252,                0.20129,                0.82966,              0.0012214,              0.0012214,              0.0012214
                     29,                0.38358,                0.29202,                0.99908,                0.99858,                      1,                  0.995,                0.99402,                0.23839,                 0.2155,                0.84989,              0.0012049,              0.0012049,              0.0012049
                     30,                0.37713,                0.27587,                0.98539,                0.99948,                      1,                  0.995,                0.99434,                0.18361,                0.17378,                0.81621,              0.0011884,              0.0011884,              0.0011884
                     31,                0.37477,                 0.2864,                0.98777,                0.97719,                0.63392,                0.65571,                0.52829,                0.81326,                  1.638,                 1.4646,              0.0011719,              0.0011719,              0.0011719
                     32,                0.38154,                0.29416,                0.99587,                0.99882,                      1,                  0.995,                0.99356,                0.19052,                0.18227,                0.82135,              0.0011554,              0.0011554,              0.0011554
                     33,                0.36788,                0.28399,                0.98523,                0.99887,                      1,                  0.995,                0.99289,                0.19452,                0.18059,                0.82241,              0.0011389,              0.0011389,              0.0011389
                     34,                0.35811,                0.27471,                0.97447,                0.99644,                0.63559,                0.75981,                0.64749,                0.62265,                 1.1017,                 1.2489,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.3661,                0.26888,                0.97792,                0.97568,                    0.5,                0.49895,                0.41876,                 1.2703,                 2.0367,                 1.7481,              0.0011059,              0.0011059,              0.0011059
                     36,                0.35477,                 0.2605,                0.97165,                 0.9993,                      1,                  0.995,                0.99396,                0.20622,                 0.1925,                0.83081,              0.0010894,              0.0010894,              0.0010894
                     37,                0.36647,                0.27297,                0.97739,                0.99886,                      1,                  0.995,                 0.9889,                0.20453,                0.18385,                0.82787,              0.0010729,              0.0010729,              0.0010729
                     38,                0.35399,                0.26347,                0.96758,                 0.9995,                      1,                  0.995,                0.99077,                0.20337,                 0.1904,                0.81913,              0.0010564,              0.0010564,              0.0010564
                     39,                0.35974,                0.26575,                0.97556,                0.99903,                      1,                  0.995,                0.99397,                0.18783,                0.18021,                0.80794,              0.0010399,              0.0010399,              0.0010399
                     40,                0.33996,                0.25214,                0.96882,                0.99932,                      1,                  0.995,                0.99407,                0.18116,                0.17762,                0.80626,              0.0010234,              0.0010234,              0.0010234
                     41,                0.34512,                0.25206,                0.96776,                0.99889,                      1,                  0.995,                0.99392,                0.17833,                0.16388,                0.80643,              0.0010069,              0.0010069,              0.0010069
                     42,                0.35202,                0.25618,                 0.9679,                0.99879,                      1,                  0.995,                0.99325,                0.17571,                0.18175,                0.80686,             0.00099036,             0.00099036,             0.00099036
                     43,                0.34018,                0.25231,                0.96255,                 0.9995,                      1,                  0.995,                0.99419,                0.17587,                0.15057,                0.79563,             0.00097386,             0.00097386,             0.00097386
                     44,                0.35869,                0.25681,                0.98262,                0.99956,                      1,                  0.995,                0.99479,                0.18252,                0.16097,                0.81183,             0.00095736,             0.00095736,             0.00095736
                     45,                0.35566,                0.25789,                0.96767,                0.43689,                 0.4694,                0.48491,                0.36719,                 1.4726,                 2.5299,                 2.0874,             0.00094085,             0.00094085,             0.00094085
                     46,                0.35469,                0.25807,                0.97545,                0.99954,                      1,                  0.995,                0.99442,                0.16686,                0.14899,                0.79063,             0.00092435,             0.00092435,             0.00092435
                     47,                0.34592,                0.24395,                 0.9659,                 0.9989,                      1,                  0.995,                0.99141,                0.18674,                0.16544,                0.81111,             0.00090785,             0.00090785,             0.00090785
                     48,                0.35758,                0.25715,                0.97375,                0.99949,                      1,                  0.995,                0.99403,                0.18928,                0.17121,                0.81096,             0.00089134,             0.00089134,             0.00089134
                     49,                0.35641,                0.25863,                0.97184,                0.99895,                      1,                  0.995,                0.99398,                0.16885,                0.15719,                0.79622,             0.00087484,             0.00087484,             0.00087484
                     50,                0.34575,                0.24731,                0.96295,                0.99935,                      1,                  0.995,                0.99317,                0.17268,                0.17065,                0.79267,             0.00085834,             0.00085834,             0.00085834
                     51,                0.34726,                0.25173,                0.96604,                 0.9993,                      1,                  0.995,                0.99469,                0.16999,                0.14459,                0.79698,             0.00084184,             0.00084184,             0.00084184
                     52,                0.34916,                0.25073,                0.96718,                0.99934,                      1,                  0.995,                0.99469,                0.16824,                0.15058,                0.79792,             0.00082533,             0.00082533,             0.00082533
                     53,                0.34326,                0.25691,                0.96915,                0.99954,                      1,                  0.995,                0.99403,                 0.1643,                0.16107,                0.79251,             0.00080883,             0.00080883,             0.00080883
                     54,                0.32534,                0.24033,                0.95462,                0.99898,                      1,                  0.995,                0.99302,                0.17081,                0.14166,                 0.7915,             0.00079233,             0.00079233,             0.00079233
                     55,                0.32972,                 0.2355,                0.95301,                0.99941,                      1,                  0.995,                0.99409,                0.15926,                0.14642,                 0.7954,             0.00077582,             0.00077582,             0.00077582
                     56,                  0.328,                0.24352,                0.95168,                0.99952,                      1,                  0.995,                0.99411,                0.16222,                0.12902,                0.78553,             0.00075932,             0.00075932,             0.00075932
                     57,                0.32266,                0.23187,                0.95046,                0.99955,                      1,                  0.995,                 0.9944,                0.15421,                 0.1256,                0.78321,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.3261,                0.23116,                0.95951,                0.99956,                      1,                  0.995,                0.99409,                0.17237,                0.12741,                0.79496,             0.00072631,             0.00072631,             0.00072631
                     59,                0.33163,                0.23567,                 0.9524,                0.99898,                      1,                  0.995,                0.99344,                0.15704,                0.15098,                0.78819,             0.00070981,             0.00070981,             0.00070981
                     60,                0.31625,                0.22555,                0.95172,                0.99929,                      1,                  0.995,                0.99411,                0.15798,                0.14913,                0.78691,             0.00069331,             0.00069331,             0.00069331
                     61,                0.29898,                0.22022,                 0.9375,                 0.9994,                      1,                  0.995,                 0.9943,                 0.1705,                0.15323,                0.79136,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.3243,                0.23197,                0.95155,                 0.9995,                      1,                  0.995,                 0.9942,                0.17691,                0.16665,                 0.7996,              0.0006603,              0.0006603,              0.0006603
                     63,                0.32332,                0.23194,                0.95086,                0.99934,                      1,                  0.995,                0.99442,                0.15507,                 0.1459,                0.78608,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.3301,                0.23529,                0.95974,                0.99931,                      1,                  0.995,                0.99437,                0.16077,                0.12443,                0.78754,             0.00062729,             0.00062729,             0.00062729
                     65,                0.30675,                0.22254,                0.94126,                0.99931,                      1,                  0.995,                0.99398,                0.15214,                0.11973,                0.77884,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.3161,                0.22428,                0.94571,                0.99943,                      1,                  0.995,                0.99442,                  0.157,                0.14804,                0.78141,             0.00059429,             0.00059429,             0.00059429
                     67,                0.30795,                0.21461,                0.94443,                0.99943,                      1,                  0.995,                0.99396,                0.17708,                0.13502,                0.79987,             0.00057778,             0.00057778,             0.00057778
                     68,                0.30355,                0.21581,                0.94456,                0.99951,                      1,                  0.995,                0.99409,                0.15621,                0.13585,                0.78082,             0.00056128,             0.00056128,             0.00056128
                     69,                0.30634,                 0.2179,                 0.9405,                0.99941,                      1,                  0.995,                 0.9946,                0.16892,                0.13586,                0.79038,             0.00054478,             0.00054478,             0.00054478
                     70,                0.30751,                0.21776,                0.94209,                0.99928,                      1,                  0.995,                0.99374,                0.15791,                0.11478,                0.78427,             0.00052827,             0.00052827,             0.00052827
                     71,                0.29573,                0.21307,                0.93158,                0.99944,                      1,                  0.995,                0.99469,                0.15554,                0.13146,                0.78895,             0.00051177,             0.00051177,             0.00051177
                     72,                0.30183,                0.21498,                0.93763,                0.99954,                      1,                  0.995,                 0.9946,                0.16435,                0.12931,                0.78595,             0.00049527,             0.00049527,             0.00049527
                     73,                0.30337,                0.21262,                0.93912,                0.99949,                      1,                  0.995,                0.99423,                0.15659,                0.12616,                0.78135,             0.00047876,             0.00047876,             0.00047876
                     74,                0.29771,                0.21216,                0.93462,                0.99951,                    0.5,                 0.4975,                0.48899,                 1.0529,                 1.5132,                 1.6355,             0.00046226,             0.00046226,             0.00046226
                     75,                0.30189,                0.20901,                0.93601,                 0.9994,                      1,                  0.995,                0.99476,                0.15072,                0.11592,                0.78043,             0.00044576,             0.00044576,             0.00044576
